SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HiPr,LOW_PRICE,CLOSE_PRICE,AvgPr,Vol,Val_CR,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CAMS, EQ,6/21/24,3516.2,3519,3654,3516.15,3548.8,3585.39,327647,117.4743,29929,154878,47.27
CAMS, EQ,6/20/24,3571.45,3607.6,3607.6,3488,3516.2,3557.33,140675,50.0427,14245,60362,42.91
CAMS, EQ,6/19/24,3649.25,3684.95,3685,3560,3571.45,3606,160186,57.7631,18142,68879,43
CAMS, EQ,6/18/24,3577.6,3610,3661.7,3527.6,3649.25,3605.71,244567,88.1837,22450,120010,49.07
CAMS, EQ,6/14/24,3665.35,3640.05,3663.2,3563.25,3577.6,3592.39,188666,67.7762,22941,93460,49.54
CAMS, EQ,6/13/24,3626.35,3675,3685.95,3576.35,3665.35,3630.93,320303,116.2999,34841,130613,40.78
CAMS, EQ,6/12/24,3438.7,3474.95,3650,3452.85,3626.35,3563.6,338664,120.6864,40245,158649,46.85
CAMS, EQ,6/11/24,3447.7,3447.7,3520,3423,3438.7,3472.19,132604,46.0426,19884,55697,42
CAMS, EQ,6/10/24,3408.1,3440,3488,3408.1,3447.7,3454.29,106471,36.7782,15544,47156,44.29
CAMS, EQ,6/7/24,3375.15,3419.85,3459.6,3390.1,3408.1,3416.25,114975,39.2784,17135,51656,44.93
CAMS, EQ,6/6/24,3442.05,3470,3522.5,3365.05,3375.15,3430.31,172132,59.0467,21358,77832,45.22
CAMS, EQ,6/5/24,3302.6,3340,3458.15,3151.1,3442.05,3370.28,204913,69.0615,33013,90570,44.2
CAMS, EQ,6/4/24,3549.65,3545.05,3545.05,3050,3302.6,3314.41,397578,131.7735,64491,173230,43.57
CAMS, EQ,6/3/24,3480.1,3600,3638.4,3520,3549.65,3585.28,320998,115.0867,38710,196625,61.25
CAMS, EQ,5/31/24,3461.35,3500,3537,3456.25,3480.1,3493.69,191144,66.7797,30207,95250,49.83
CAMS, EQ,5/30/24,3447.9,3440.05,3500,3391.65,3461.35,3428.98,255640,87.6585,32932,131577,51.47
CAMS, EQ,5/29/24,3456.3,3450,3456,3340,3447.9,3389.48,296368,100.4532,34344,145683,49.16
CAMS, EQ,5/28/24,3526.35,3540,3589.7,3445,3456.3,3501.33,203102,71.1127,24701,98158,48.33
CAMS, EQ,5/27/24,3416.3,3440,3598,3432.3,3526.35,3523.33,386494,136.1747,40888,163656,42.34
CAMS, EQ,5/24/24,3548.05,3555,3577.3,3404,3416.3,3494.74,226630,79.2014,22422,125031,55.17
CAMS, EQ,5/23/24,3482.8,3482.85,3636.45,3477.95,3548.05,3582.55,594015,212.8091,63088,267683,45.06
CAMS, EQ,5/22/24,3397.35,3415,3535,3390,3482.8,3481,602396,209.6942,64325,241852,40.15
CAMS, EQ,5/21/24,3316.95,3332,3410,3307.25,3397.35,3380.96,378544,127.9843,33102,194164,51.29
CAMS, EQ,5/17/24,3285.6,3307.95,3354.3,3274.15,3313.7,3315.9,200028,66.3273,27537,83281,41.63
CAMS, EQ,5/16/24,3294.8,3329,3329,3253.95,3285.6,3289.33,116565,38.3421,13576,53981,46.31
CAMS, EQ,5/15/24,3200.35,3208,3324,3207.95,3294.8,3290.1,391060,128.6627,43324,157862,40.37
CAMS, EQ,5/14/24,3126.45,3149.95,3218,3140.6,3200.35,3173.24,127313,40.3994,15016,57188,44.92
CAMS, EQ,5/13/24,3207.4,3181,3198.85,3030.05,3126.45,3103.76,317050,98.4048,39725,124384,39.23
CAMS, EQ,5/10/24,3095.35,3139.95,3276,3133.15,3207.4,3213.85,685888,220.4344,60494,122074,17.8
CAMS, EQ,5/9/24,3137.55,3162.35,3284.95,3080,3095.35,3195.93,521639,166.7121,59282,124556,23.88
CAMS, EQ,5/8/24,3180.05,3177.2,3180,3114.05,3137.55,3138.71,147818,46.3958,18477,62879,42.54
CAMS, EQ,5/7/24,3276.95,3303.25,3319,3166,3180.05,3221.84,226415,72.9472,27901,110814,48.94
CAMS, EQ,5/6/24,3298.65,3336.85,3367,3260.7,3276.95,3317.05,327936,108.7779,41596,123049,37.52
CAMS, EQ,5/3/24,3309.55,3333,3334,3285,3298.65,3308.56,271404,89.7958,40648,139775,51.5
CAMS, EQ,5/2/24,3202.7,3225,3316.05,3210.05,3309.55,3285.85,249943,82.1275,27578,122364,48.96
CAMS, EQ,4/30/24,3291.65,3276.4,3295.45,3195.6,3202.7,3240.7,177489,57.5189,25791,94659,53.33
CAMS, EQ,4/29/24,3206.5,3230,3326,3219.7,3291.65,3295.31,424255,139.8051,43700,241063,56.82
