SYMBOL,SERIES,Adjusted_52_Week_High,52WH_Date,Adjusted_52_Week_Low,52WL_Date
BSE,EQ,   3030.00,10-JUN-2025,   1227.33,11-MAR-2025
BSE500IETF,EQ,     41.64,06-JAN-2026,     33.00,07-APR-2025
BSHSL,EQ,    179.99,04-FEB-2025,     94.15,09-DEC-2025
BSL,EQ,    258.80,21-JAN-2025,    127.30,20-JUN-2025
BSLGOLDETF,EQ,    126.78,13-JAN-2026,     68.57,13-JAN-2025
BSLNIFTY,EQ,     31.45,05-JAN-2026,     20.37,04-MAR-2025
BSLSENETFG,EQ,     87.82,05-DEC-2025,     61.64,11-FEB-2025
BSOFT,EQ,    564.40,13-JAN-2025,    331.00,07-APR-2025
BTML,EQ,     13.41,22-JAN-2025,      7.11,30-OCT-2025
BUTTERFLY,EQ,    829.90,21-MAY-2025,    550.70,04-MAR-2025
BVCL,EQ,     69.99,09-SEP-2025,     34.06,09-MAY-2025
BYKE,EQ,    100.80,29-MAY-2025,     48.00,30-DEC-2025
CALSOFT,EQ,     21.42,08-JUL-2025,      9.96,30-MAY-2025
CAMLINFINE,EQ,    333.30,26-JUN-2025,    113.24,28-JAN-2025
CAMPUS,EQ,    313.90,01-FEB-2025,    210.00,07-APR-2025
CAMS,EQ,    905.80,16-JAN-2025,    606.21,03-MAR-2025
CANBK,EQ,    158.00,31-DEC-2025,     78.60,03-MAR-2025
CANFINHOME,EQ,    971.50,26-DEC-2025,    558.50,25-FEB-2025
CANHLIFE,EQ,    157.80,29-DEC-2025,    106.00,17-OCT-2025
CANTABIL,EQ,    334.00,10-FEB-2025,    213.41,07-MAY-2025
CAPACITE,EQ,    396.45,21-APR-2025,    237.05,12-JAN-2026
CAPILLARY,EQ,    798.95,26-NOV-2025,    570.05,21-NOV-2025
CAPITALSFB,EQ,    330.65,22-JUL-2025,    250.00,12-MAR-2025
CAPLIPOINT,EQ,   2404.95,13-JAN-2025,   1599.00,07-APR-2025
CAPTRUST,EQ,     76.01,03-FEB-2025,     11.08,04-DEC-2025
CARBORUNIV,EQ,   1264.05,16-JAN-2025,    786.80,12-JAN-2026
CARERATING,EQ,   1964.00,11-JUN-2025,   1052.00,07-APR-2025
CARRARO,EQ,    603.75,13-JAN-2025,    253.15,09-APR-2025
CARTRADE,EQ,   3290.50,17-NOV-2025,   1294.00,22-JAN-2025
CARYSIL,EQ,   1071.90,12-NOV-2025,    482.30,28-FEB-2025
CASHIETF,EQ,   1064.57,24-OCT-2025,   1001.47,19-MAR-2025
CASTROLIND,EQ,    251.95,06-MAR-2025,    162.60,28-JAN-2025
CCHHL,EQ,     20.99,10-JUL-2025,     13.00,28-FEB-2025
CCL,EQ,   1074.40,10-NOV-2025,    525.00,07-APR-2025
CDSL,EQ,   1828.90,10-JUN-2025,   1047.45,17-MAR-2025
CEATLTD,EQ,   4438.00,23-OCT-2025,   2343.05,04-MAR-2025
CEIGALL,EQ,    333.65,14-JAN-2025,    222.61,09-DEC-2025
CELEBRITY,EQ,     15.47,05-FEB-2025,      7.31,13-JAN-2026
CELLO,EQ,    709.85,13-JAN-2025,    490.00,12-JAN-2026
CEMPRO,EQ,    944.00,30-JUN-2025,    476.60,02-MAY-2025
CENTENKA,EQ,    617.95,25-FEB-2025,    409.50,08-DEC-2025
CENTRALBK,EQ,     56.24,14-JAN-2025,     32.75,09-MAY-2025
CENTRUM,EQ,     41.90,16-JUL-2025,     22.40,07-APR-2025
CENTUM,EQ,   3044.00,05-SEP-2025,   1140.30,04-MAR-2025
CENTURYPLY,EQ,    897.10,07-FEB-2025,    650.00,07-APR-2025
CERA,EQ,   7275.00,17-JUN-2025,   5004.00,12-JAN-2026
CESC,EQ,    185.26,29-OCT-2025,    119.00,17-FEB-2025
CEWATER,EQ,    773.60,20-JAN-2025,    349.65,09-DEC-2025
CGCL,EQ,    231.35,27-MAR-2025,    150.51,04-JUN-2025
